Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
004000	KR7004000006	롯데정밀화학	KOSPI		33400	2	-150	-0.45	33500	34200	33300	9978	335271750	861720000000	25800000	STK
001530	KR7001530005	DI동일	KOSPI		43750	2	-200	-0.46	43400	44000	43400	3495	152871350	847473331250	19370819	STK
225570	KR7225570001	넥슨게임즈	KOSDAQ	우량기업부	12730	2	-40	-0.31	12680	12880	12630	60238	770510450	838400015020	65860174	KSQ
004800	KR7004800009	효성	KOSPI		50000	3	0	0.0	49700	50000	49350	1122	55765825	837020350000	16740407	STK
100090	KR7100090000	SK오션플랜트	KOSPI		14070	1	340	2.48	13710	14200	13710	44423	620665355	832881641760	59195568	STK
001680	KR7001680008	대상	KOSPI		23700	1	100	0.42	23550	23800	23400	15253	360814350	821158192500	34648025	STK
108320	KR7108320003	LX세미콘	KOSPI		50400	1	300	0.6	49500	50500	49500	4682	234988400	819720720000	16264300	STK
145720	KR7145720009	덴티움	KOSPI		74000	2	-1500	-1.99	75500	75600	74000	16310	1215864250	819093420000	11068830	STK
232140	KR7232140004	와이씨	KOSDAQ	우량기업부	9950	2	-50	-0.5	9910	10020	9880	174690	1737452700	816351232500	82045350	KSQ
120110	KR7120110002	코오롱인더	KOSPI		29650	2	-50	-0.17	29400	29850	29400	10129	300544650	815941048150	27519091	STK
051915	KR7051911006	LG화학우	KOSPI		105900	1	300	0.28	104800	107400	104800	7568	802125450	814243920000	7688800	STK
005440	KR7005440003	현대지에프홀딩스	KOSPI		5220	3	0	0.0	5180	5220	5140	21354	110516500	813820451220	155904301	STK
000500	KR7000500009	가온전선	KOSPI		49000	2	-300	-0.61	48300	49750	48300	25293	1242148350	810612635000	16543115	STK
204270	KR7204270003	제이앤티씨	KOSDAQ	중견기업부	14000	2	-170	-1.2	14070	14200	13900	104285	1461279155	809878524000	57848466	KSQ
