Unnamed: 0	Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
779	199550	KR7199550005	레이저옵텍	KOSDAQ	벤처기업부	-	3									12265791	KSQ
780	281740	KR7281740001	레이크머티리얼즈	KOSDAQ	우량기업부	-	3									65730548	KSQ
781	277810	KR7277810008	레인보우로보틱스	KOSDAQ	기술성장기업부	-	3									19399858	KSQ
782	215100	KR7215100009	로보로보	KOSDAQ	벤처기업부	-	3									20348454	KSQ
783	090360	KR7090360009	로보스타	KOSDAQ	중견기업부	-	3									9750000	KSQ
785	108490	KR7108490004	로보티즈	KOSDAQ	기술성장기업부	-	3									14652728	KSQ
786	900260	HK0000295359	로스웰	KOSDAQ	외국기업(소속부없음)	-	3									46029706	KSQ
787	033290	KR7033290008	로젠	KOSDAQ	중견기업부	-	3									56156301	KSQ
789	067730	KR7067730002	로지시스	KOSDAQ	중견기업부	-	3									9673922	KSQ
790	071280	KR7071280002	로체시스템즈	KOSDAQ	우량기업부	-	3									15296603	KSQ
791	376900	KR7376900007	로킷헬스케어	KOSDAQ	기술성장기업부	-	3									15738739	KSQ
792	214610	KR7214610008	롤링스톤	KOSDAQ	관리종목(소속부없음)	-	3									8383322	KSQ
793	032350	KR7032350001	롯데관광개발	KOSPI		-	3									79601474	STK
794	089860	KR7089860001	롯데렌탈	KOSPI		-	3									36309388	STK
795	330590	KR7330590001	롯데리츠	KOSPI		-	3									288968884	STK
796	000400	KR7000400002	롯데손해보험	KOSPI		-	3									310336320	STK
797	023530	KR7023530009	롯데쇼핑	KOSPI		-	3									28288755	STK
798	020150	KR7020150009	롯데에너지머티리얼즈	KOSPI		-	3									52365463	STK
799	280360	KR7280360009	롯데웰푸드	KOSPI		-	3									9304574	STK
800	286940	KR7286940002	롯데이노베이트	KOSPI		-	3									15129367	STK
801	004000	KR7004000006	롯데정밀화학	KOSPI		-	3									25800000	STK
802	004990	KR7004990008	롯데지주	KOSPI		-	3									104909237	STK
803	00499K	KR700499K014	롯데지주우	KOSPI		-	3									805603	STK
804	005300	KR7005300009	롯데칠성	KOSPI		-	3									9278884	STK
805	005305	KR7005301007	롯데칠성우	KOSPI		-	3									775310	STK
806	011170	KR7011170008	롯데케미칼	KOSPI		-	3									42775419	STK
807	071840	KR7071840003	롯데하이마트	KOSPI		-	3									23607712	STK
808	328130	KR7328130000	루닛	KOSDAQ	기술성장기업부	-	3									29284502	KSQ
809	038060	KR7038060000	루멘스	KOSDAQ	우량기업부	-	3									48103069	KSQ
810	474170	KR7474170008	루미르	KOSDAQ	기술성장기업부	-	3									17817696	KSQ
815	016100	KR7016100000	리더스코스메틱	KOSDAQ	중견기업부	-	3									19100894	KSQ
816	012700	KR7012700001	리드코프	KOSDAQ	우량기업부	-	3									26194852	KSQ
817	302550	KR7302550009	리메드	KOSDAQ	기술성장기업부	-	3									30907150	KSQ
818	491000	KR7491000006	리브스메드	KOSDAQ	기술성장기업부	-	3									24953391	KSQ
819	394420	KR7394420004	리센스메디컬	KOSDAQ	기술성장기업부	-	3									10850298	KSQ
820	073570	KR7073570004	리튬포어스	KOSDAQ	관리종목(소속부없음)	-	3									60186641	KSQ
821	377450	KR7377450002	리파인	KOSDAQ	우량기업부	-	3									17330000	KSQ
822	277070	KR7277070009	린드먼아시아	KOSDAQ	중견기업부	-	3									13692000	KSQ
823	042500	KR7042500009	링네트	KOSDAQ	우량기업부	-	3									22291144	KSQ
824	193250	KR7193250008	링크드	KOSDAQ	중견기업부	-	3									66844667	KSQ
825	474650	KR7474650009	링크솔루션	KOSDAQ	기술성장기업부	-	3									5741107	KSQ
826	219420	KR7219420007	링크제니시스	KOSDAQ	기술성장기업부	-	3									11469507	KSQ
827	439090	KR7439090002	마녀공장	KOSDAQ	중견기업부	-	3									16393260	KSQ
828	027740	KR7027740000	마니커	KOSPI		-	3									63511228	STK
829	195500	KR7195500004	마니커에프앤지	KOSDAQ	중견기업부	-	3									15978000	KSQ
830	357430	KR7357430008	마스턴프리미어리츠	KOSPI		-	3									30505307	STK
831	377480	KR7377480009	마음AI	KOSDAQ	기술성장기업부	-	3									7110275	KSQ
