Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
004370	KR7004370003	농심	KOSPI		393500	2	-500	-0.13	396000	399000	392000	6127	2414089000	2393519627000	6082642	STK
066970	KR7066970005	엘앤에프	KOSPI		65900	1	600	0.92	66400	67000	64900	56097	3704386950	2393235866600	36316174	STK
031210	KR7031210008	서울보증보험	KOSPI		34050	3	0	0.0	34050	34200	33900	40957	1394803275	2377425411900	69821598	STK
004990	KR7004990008	롯데지주	KOSPI		22350	1	50	0.22	22450	22450	21900	17505	390753050	2344721446950	104909237	STK
082740	KR7082740002	한화엔진	KOSPI		27000	1	500	1.89	26900	27300	26600	794682	21375413300	2253072834000	83447142	STK
088350	KR7088350004	한화생명	KOSPI		2575	1	20	0.78	2575	2590	2565	189886	489603962	2236464750000	868530000	STK
002380	KR7002380004	KCC	KOSPI		248000	1	1500	0.61	247500	252000	247000	4565	1141439750	2203844808000	8886471	STK
001440	KR7001440007	대한전선	KOSPI		11810	1	140	1.2	11780	11830	11730	270827	3192432285	2201942613000	186447300	STK
081660	KR7081660003	미스토홀딩스	KOSPI		36500	1	450	1.25	36200	36700	35950	24534	893765600	2193498123500	60095839	STK
018670	KR7018670000	SK가스	KOSPI		232000	3	0	0.0	233000	234500	230000	1574	365835500	2144896608000	9245244	STK
007660	KR7007660004	이수페타시스	KOSPI		33800	1	400	1.2	34050	34300	33450	200820	6813523100	2137728962200	63246419	STK
068760	KR7068760008	셀트리온제약	KOSDAQ	우량기업부	48650	1	250	0.52	48500	48950	48500	11874	578346100	2124704974700	43673278	KSQ
030000	KR7030000004	제일기획	KOSPI		18180	2	-80	-0.44	18290	18290	18170	19500	355084465	2091449470500	115041225	STK
111770	KR7111770004	영원무역	KOSPI		47100	2	-100	-0.21	47200	47700	46950	7163	339153550	2087070142800	44311468	STK
310210	KR7310210000	보로노이	KOSDAQ	기술성장기업부	112100	1	5500	5.16	107500	112400	106000	64223	7068044500	2061345132900	18388449	KSQ
257720	KR7257720003	실리콘투	KOSDAQ	벤처기업부	33550	1	1700	5.34	32500	33650	32300	533724	17683746800	2052317513400	61171908	KSQ
020560	KR7020560009	아시아나항공	KOSPI		9480	1	10	0.11	9470	9500	9460	12687	120276915	1952791940280	205990711	STK
008930	KR7008930000	한미사이언스	KOSPI		28550	1	300	1.06	28200	28650	28200	17962	511964175	1952578752500	68391550	STK
192820	KR7192820009	코스맥스	KOSPI		169500	2	-100	-0.06	170800	172400	169200	28559	4888405900	1923741775500	11349509	STK
023530	KR7023530009	롯데쇼핑	KOSPI		67150	2	-250	-0.37	67700	67700	66800	11506	772448000	1899589898250	28288755	STK
000120	KR7000120006	CJ대한통운	KOSPI		83200	3	0	0.0	83700	83700	83000	10736	894292100	1897987020800	22812344	STK
051600	KR7051600005	한전KPS	KOSPI		41750	1	200	0.48	43000	43050	41600	48796	2064993300	1878750000000	45000000	STK
012510	KR7012510004	더존비즈온	KOSPI		61600	1	100	0.16	62300	63700	61500	75252	4724704850	1871579494400	30382784	STK
001450	KR7001450006	현대해상	KOSPI		20900	3	0	0.0	21000	21150	20800	106208	2225340375	1868460000000	89400000	STK
000990	KR7000990002	DB하이텍	KOSPI		41200	1	350	0.86	41400	41600	41000	31417	1296788150	1829221825600	44398588	STK
007390	KR7007390008	네이처셀	KOSDAQ	중견기업부	27850	1	100	0.36	28300	28400	27050	510395	14122524350	1792346794600	64357156	KSQ
028670	KR7028670008	팬오션	KOSPI		3330	1	35	1.06	3310	3350	3310	365949	1217780174	1780116474960	534569512	STK
282330	KR7282330000	BGF리테일	KOSPI		102800	2	-400	-0.39	103700	103800	102800	9394	968282600	1776785536800	17283906	STK
348370	KR7348370008	엔켐	KOSDAQ	벤처기업부	83700	2	-1700	-1.99	87100	87100	83400	70908	6034473300	1773963161100	21194303	KSQ
204320	KR7204320006	HL만도	KOSPI		37100	1	250	0.68	37200	37450	36950	48424	1800560675	1742109152000	46957120	STK
161890	KR7161890009	한국콜마	KOSPI		73700	2	-1800	-2.38	75500	75700	73100	102318	7570861050	1739694174900	23605077	STK
002790	KR7002790004	아모레퍼시픽홀딩스	KOSPI		21750	1	50	0.23	21700	21900	21600	20468	445419450	1728215415000	79458180	STK
065350	KR7065350001	신성델타테크	KOSDAQ	우량기업부	60500	2	-100	-0.17	60800	61300	60000	27173	1649346950	1662778854000	27483948	KSQ
328130	KR7328130000	루닛	KOSDAQ	기술성장기업부	55900	1	1200	2.19	54300	56400	54100	134478	7436833100	1620833916000	28995240	KSQ
139130	KR7139130009	iM금융지주	KOSPI		9720	1	40	0.41	9700	9750	9680	85953	835140595	1617338336760	166392833	STK
375500	KR7375500006	DL이앤씨	KOSPI		41750	1	350	0.85	42000	42000	41450	22332	933665100	1615458760250	38693623	STK
361610	KR7361610009	SK아이이테크놀로지	KOSPI		22600	1	250	1.12	22750	22850	22350	35496	803934575	1611325579200	71297592	STK
112610	KR7112610001	씨에스윈드	KOSPI		38200	1	600	1.6	38000	38550	37900	93229	3568310975	1610947594600	42171403	STK
007310	KR7007310006	오뚜기	KOSPI		400500	1	1500	0.38	401000	402000	399500	294	117856500	1605135915000	4007830	STK
005290	KR7005290002	동진쎄미켐	KOSDAQ	우량기업부	31200	1	600	1.96	31300	32050	31100	343064	10814722225	1604132212800	51414494	KSQ
103140	KR7103140000	풍산	KOSPI		57200	1	1400	2.51	56400	57900	56300	118267	6766521350	1602988701600	28024278	STK
006040	KR7006040000	동원산업	KOSPI		40150	2	-1050	-2.55	41750	41750	40050	40985	1659187425	1590906972600	39624084	STK
042670	KR7042670000	HD현대인프라코어	KOSPI		8200	1	20	0.24	8240	8270	8140	222955	1831514590	1579778109400	192655867	STK
005850	KR7005850003	에스엘	KOSPI		33650	2	-650	-1.9	34950	34950	33400	72136	2455790650	1562992698000	46448520	STK
294870	KR7294870001	HDC현대산업개발	KOSPI		23650	3	0	0.0	23750	23950	23500	56896	1349789025	1558708354500	65907330	STK
003690	KR7003690005	코리안리	KOSPI		8000	1	10	0.13	7990	8020	7970	54763	437667240	1558568248000	194821031	STK
008770	KR7008770000	호텔신라	KOSPI		39000	1	50	0.13	39100	39150	38650	27906	1085745725	1530676719000	39248121	STK
062040	KR7062040001	산일전기	KOSPI		50200	1	700	1.41	50100	51000	49950	100172	5054819000	1528349040000	30445200	STK
082270	KR7082270000	젬백스	KOSDAQ	벤처기업부	36550	1	250	0.69	36350	37950	36000	106960	3963494100	1513391529550	41406061	KSQ
140860	KR7140860008	파크시스템스	KOSDAQ	우량기업부	214500	1	2000	0.94	213500	216000	211000	7052	1506584000	1499350066500	6989977	KSQ
069620	KR7069620003	대웅제약	KOSPI		128600	2	-1200	-0.92	131000	131300	128600	5307	687818400	1490033545000	11586575	STK
006360	KR7006360002	GS건설	KOSPI		17250	1	130	0.76	17200	17340	17110	63942	1102929195	1476280702500	85581490	STK
004170	KR7004170007	신세계	KOSPI		152000	2	-2000	-1.3	154000	154900	151400	3833	587778350	1466067512000	9645181	STK
009420	KR7009420001	한올바이오파마	KOSPI		27950	1	100	0.36	27900	28550	27850	72058	2026130775	1460125832100	52240638	STK
006280	KR7006280002	녹십자	KOSPI		121800	1	400	0.33	122000	122400	120900	6002	730114300	1423420328400	11686538	STK
042000	KR7042000000	카페24	KOSDAQ	기술성장기업부	58600	1	1300	2.27	58000	58900	57200	43318	2518261250	1421228964400	24253054	KSQ
096530	KR7096530001	씨젠	KOSDAQ	우량기업부	26850	2	-100	-0.37	26900	27000	26300	87291	2321026950	1402267938900	52225994	KSQ
000240	KR7000240002	한국앤컴퍼니	KOSPI		14770	1	70	0.48	14770	14880	14680	31834	469923170	1402193494800	94935240	STK
047040	KR7047040001	대우건설	KOSPI		3365	1	70	2.12	3395	3410	3355	487362	1647759840	1398570176870	415622638	STK
007340	KR7007340003	DN오토모티브	KOSPI		23750	2	-50	-0.21	24000	24150	23700	34989	833947700	1389633043750	58510865	STK
357780	KR7357780006	솔브레인	KOSDAQ	우량기업부	176800	1	1800	1.03	177200	178400	176500	5814	1030775750	1375250468800	7778566	KSQ
018290	KR7018290007	브이티	KOSDAQ	우량기업부	38100	1	500	1.33	37750	38200	37400	166113	6298269800	1363904066700	35798007	KSQ
457190	KR7457190007	이수스페셜티케미컬	KOSPI		45050	2	-150	-0.33	45250	46150	44850	61189	2779188475	1360883014000	30208280	STK
014680	KR7014680003	한솔케미칼	KOSPI		119900	1	900	0.76	120300	121700	119500	10363	1248057850	1359089880500	11335195	STK
214370	KR7214370009	케어젠	KOSDAQ	벤처기업부	25200	2	-100	-0.4	25300	25500	24950	11201	282076600	1353618000000	53715000	KSQ
000080	KR7000080002	하이트진로	KOSPI		19225	1	45	0.23	19240	19270	19210	11849	227969660	1348318671475	70133611	STK
073240	KR7073240004	금호타이어	KOSPI		4685	1	60	1.3	4675	4720	4655	87292	409207006	1345814444595	287260287	STK
395400	KR7395400005	SK리츠	KOSPI		4870	2	-30	-0.61	4900	4900	4860	47963	233703038	1345039329380	276188774	STK
078600	KR7078600004	대주전자재료	KOSDAQ	우량기업부	85200	1	200	0.24	86500	86600	85000	26355	2252779100	1318946523600	15480593	KSQ
005070	KR7005070008	코스모신소재	KOSPI		40450	2	-100	-0.25	41350	41350	40200	62678	2557074375	1315060080200	32510756	STK
089030	KR7089030001	테크윙	KOSDAQ	우량기업부	34950	1	1450	4.33	34400	35600	34400	298029	10448692675	1305509892750	37353645	KSQ
001720	KR7001720002	신영증권	KOSPI		79300	3	0	0.0	79300	79900	79300	1792	142219250	1303692000000	16440000	STK
069960	KR7069960003	현대백화점	KOSPI		57600	2	-500	-0.86	58000	58200	57500	3972	229669100	1303419628800	22628813	STK
010060	KR7010060002	OCI홀딩스	KOSPI		68800	2	-2700	-3.78	70500	71400	68100	158269	11002392200	1294466289600	18814917	STK
009970	KR7009970005	영원무역홀딩스	KOSPI		93900	1	1300	1.4	92800	94700	92700	1638	153763400	1280382088800	13635592	STK
007070	KR7007070006	GS리테일	KOSPI		14500	1	200	1.4	14330	14500	14310	32378	466338990	1212307517500	83607415	STK
192080	KR7192080000	더블유게임즈	KOSPI		56100	1	800	1.45	55800	56400	55400	14675	821033750	1205920326600	21495906	STK
071970	KR7071970008	HD현대마린엔진	KOSPI		35550	1	850	2.45	35650	35800	35050	339630	12022808600	1205909147250	33921495	STK
086900	KR7086900008	메디톡스	KOSDAQ	우량기업부	164900	1	300	0.18	165000	165800	162900	9878	1620944250	1203522155300	7298497	KSQ
020150	KR7020150009	롯데에너지머티리얼즈	KOSPI		22900	1	150	0.66	23000	23250	22750	19148	439844850	1199169102700	52365463	STK
300720	KR7300720000	한일시멘트	KOSPI		17140	1	160	0.94	17070	17220	17070	21665	371597335	1187142795600	69261540	STK
267270	KR7267270007	HD현대건설기계	KOSPI		66800	2	-200	-0.3	67000	67100	66400	14207	947617900	1183267544800	17713586	STK
178320	KR7178320008	서진시스템	KOSDAQ	우량기업부	20850	1	300	1.46	20950	20950	20700	68833	1432235750	1172769840900	56247954	KSQ
011210	KR7011210002	현대위아	KOSPI		43100	2	-50	-0.12	43550	43550	43050	13018	563046250	1172108077300	27195083	STK
140410	KR7140410002	메지온	KOSDAQ	중견기업부	38700	1	500	1.31	38050	39550	38050	42034	1636864775	1161284058000	30007340	KSQ
